Fecha/hora inicio,Fecha/hora fin,Temperatura almacén principal (media),Humedad almacén principal (media),Temperatura almacén producción (media),Humedad almacén producción (media),Temperatura biorreactores (media)
2024-04-16 08:12:00,2024-04-18 07:28:00,21.835187222765956,43.0562436361702,20.24136980234043,50.70195177914895,21.106749198297873
2024-04-13 08:18:00,2024-04-15 08:30:00,20.07826595,43.69897865854167,20.2592282725,47.10700250375,20.889944323124997
2024-04-13 08:18:00,2024-04-15 08:15:00,20.07826595,43.69897865854167,20.2592282725,47.10700250375,20.889944323124997
2024-04-16 08:12:00,2024-04-18 07:41:00,21.835187222765956,43.0562436361702,20.24136980234043,50.70195177914895,21.106749198297873
2024-04-15 12:28:00,2024-04-17 08:14:00,21.426678606590908,43.34160998227273,20.27044305090909,49.68854701590909,21.095451480454543
2024-04-15 12:27:00,2024-04-17 08:22:00,21.426678606590908,43.34160998227273,20.27044305090909,49.68854701590909,21.095451480454543
2024-04-20 09:19:00,2024-04-22 09:12:00,19.726394070416664,41.875203156666664,20.192347845416666,44.65640113270833,20.761181210833332
2024-04-20 09:24:00,2024-04-22 09:12:00,19.726394070416664,41.875203156666664,20.192347845416666,44.65640113270833,20.761181210833332
2024-04-17 12:05:00,2024-04-19 08:05:00,20.83315014340909,40.95251249159091,20.179243475681815,49.27172670840909,21.047559307045454
2024-04-23 10:35:00,2024-04-25 11:14:00,20.433097038367347,33.265255658571434,20.12134512306122,37.35821927816327,20.859315276734694
2024-04-23 10:30:00,2024-04-25 11:10:00,20.433097038367347,33.265255658571434,20.12134512306122,37.35821927816327,20.859315276734694
2024-04-22 13:09:00,2024-04-24 09:25:00,20.063433237954545,35.079706,20.110129354318186,39.91876028909092,20.72800226863636
2024-04-22 13:12:00,2024-04-24 09:22:00,20.063433237954545,35.079706,20.110129354318186,39.91876028909092,20.72800226863636
2024-04-27 10:01:00,2024-04-29 08:57:00,21.563994313695655,45.608816094999995,20.259655205869564,51.09372842630435,20.750114590652174
2024-04-24 13:34:00,2024-04-26 07:11:00,20.75390436142857,38.048750202142855,20.174484071190477,41.61658948142857,21.032080371190474
2024-04-24 13:34:00,2024-04-26 11:13:00,20.900182116521737,38.27628049413043,20.16361087282609,42.16796052217391,20.876657224347824
2024-04-27 10:01:00,2024-04-29 09:05:00,21.55214215276596,45.58983850468084,20.26166607446808,50.988038477021284,20.745329658510638
2024-04-30 09:59:00,2024-05-02 07:36:00,22.130759015869565,44.3353629023913,20.209804866956524,50.75716982608696,20.705347242826086
2024-05-14 08:47:00,2024-05-16 07:19:00,22.042786025744682,45.14720292659574,20.277249519999998,50.30419047531915,20.905960073829785
2024-05-14 08:48:00,2024-05-16 08:08:00,22.032508746458333,45.12678409479167,20.278738936875,50.34668129874999,20.933887313750002
2024-05-18 08:34:00,2024-05-20 08:21:00,22.04103969666667,44.627048889375004,20.21387667708333,51.42018706854167,20.617758990416664
2024-05-18 08:35:00,2024-05-20 08:20:00,22.04103969666667,44.627048889375004,20.21387667708333,51.42018706854167,20.617758990416664
2024-05-21 07:42:00,2024-05-23 07:55:00,21.64359108625,44.56905527020834,20.305567316041667,50.69978883479166,21.097679398125
2024-05-21 07:44:00,2024-05-23 07:55:00,21.64359108625,44.56905527020834,20.305567316041667,50.69978883479166,21.097679398125
2024-05-20 12:16:00,2024-05-22 09:19:00,21.696061277111113,44.397042575777775,20.366096609777777,50.49597673933333,20.746442082888887
2024-05-20 12:04:00,2024-05-22 09:16:00,21.696061277111113,44.397042575777775,20.366096609777777,50.49597673933333,20.746442082888887
2024-05-28 07:54:00,2024-05-30 07:06:00,20.97685722583333,45.61972049729167,20.36574759625,50.719703176874994,21.029180101666668
2024-05-22 13:10:00,2024-05-24 10:02:00,21.46984553355556,44.82613512955556,20.225340266222222,50.90115467533333,20.62501639311111
2024-05-25 08:55:00,2024-05-27 08:35:00,21.355496593124997,45.245948219375,20.275100539375,51.12204119041667,20.882676317708334
2024-05-25 08:55:00,2024-05-27 09:19:00,21.369863264693873,45.25175887142857,20.269960121428568,51.12527259979591,20.896146566122447
2024-05-28 07:54:00,2024-05-30 08:10:00,20.99666288020408,45.620634311224485,20.36418259428571,50.71151100795918,20.990743493265306
2024-05-27 13:58:00,2024-05-29 09:10:00,21.175556264545452,45.48740629659091,20.33871874727273,50.52667661954546,20.68745907159091
2024-05-27 13:21:00,2024-05-29 09:13:00,21.175556264545452,45.48740629659091,20.33871874727273,50.52667661954546,20.68745907159091
2024-06-01 07:56:00,2024-06-03 08:53:00,21.386208401428565,45.39465053551021,20.240160145510202,50.98776262551019,20.340880494285713
2024-06-01 07:56:00,2024-06-03 08:43:00,21.386208401428565,45.39465053551021,20.240160145510202,50.98776262551019,20.340880494285713
2024-05-29 12:47:00,2024-05-31 09:39:00,21.057448521111112,45.92612647955557,20.474390552666666,50.48524098133333,20.84022114377778
2024-06-04 07:03:00,2024-06-06 07:50:00,21.20216257229167,45.99623521479166,20.467557634166667,50.41202957708333,18.90144309125
2024-06-04 07:03:00,2024-06-06 08:06:00,21.17337688959184,45.97809764612244,20.46122064897959,50.437722958163256,18.907177095306125
2024-06-03 12:23:00,2024-06-05 07:14:00,21.09326717372093,46.009407313255814,20.38200786465116,50.701799806976744,19.16874934116279
2024-06-03 12:34:00,2024-06-05 07:18:00,21.09326717372093,46.009407313255814,20.38200786465116,50.701799806976744,19.16874934116279
2024-06-11 07:34:00,2024-06-13 07:03:00,21.313557436874998,46.83671971270834,20.328795284791667,50.15965897791667,19.915346388958334
2024-06-05 15:08:00,2024-06-07 09:03:00,20.939980676666668,45.04961779,20.456116404761904,50.56264751333333,18.917627338333332
2024-06-11 07:34:00,2024-06-13 07:03:00,21.313557436874998,46.83671971270834,20.328795284791667,50.15965897791667,19.915346388958334
2024-06-15 11:24:00,2024-06-17 10:45:00,20.688581834255324,45.15541094404256,20.247461683617022,49.45885794744681,20.501168145957447
2024-06-17 14:33:00,2024-06-19 09:34:00,20.87840056418605,46.240844549767445,20.50386695,49.276690368139526,20.086750227906975
2024-06-19 13:04:00,2024-06-21 07:51:00,20.563926164523807,47.02729152547619,20.67175928761905,49.37589670333333,20.020554473333334
2024-06-29 07:58:00,2024-07-01 07:46:00,20.39213224,46.273270109375005,20.710446993125,49.52668821,19.041930486458334
2024-06-29 07:58:00,2024-07-01 07:49:00,20.39213224,46.273270109375005,20.710446993125,49.52668821,19.041930486458334
2024-07-02 08:32:00,2024-07-04 08:43:00,20.553505169791666,45.67387345229167,20.372757036666666,49.97689870270833,18.151005539791665
2024-07-02 08:32:00,2024-07-04 08:39:00,20.553505169791666,45.67387345229167,20.372757036666666,49.97689870270833,18.151005539791665
2024-07-01 11:14:00,2024-07-03 08:19:00,20.478301043777776,46.021384880222215,20.44212358177778,50.063680008,18.133041563777777
2024-07-01 11:35:00,2024-07-03 08:37:00,20.478301043777776,46.021384880222215,20.44212358177778,50.063680008,18.133041563777777
2024-07-06 08:00:00,2024-07-08 08:29:00,20.793459826122447,46.995217104897954,20.21115228979592,50.166707810408155,18.353595620816325
2024-07-03 12:21:00,2024-07-05 08:23:00,20.886965659772724,45.706172596136355,20.376404718636362,50.07620579613637,18.188817004772723
2024-07-03 12:25:00,2024-07-05 08:26:00,20.886965659772724,45.706172596136355,20.376404718636362,50.07620579613637,18.188817004772723
